frequency	 raw data	 moving average	 windowed sinc
20	0.199	0.166	0.195
25	0.200	0.162	0.196
30	0.201	0.155	0.197
35	0.201	0.148	0.196
40	0.201	0.143	0.197
45	0.203	0.137	0.198
50	0.204	0.131	0.200
60	0.203	0.111	0.199
70	0.201	0.098	0.198
80	0.202	0.084	0.194
90	0.202	0.080	0.111
100	0.203	0.079	0.097
110	0.202	0.079	0.095
120	0.203	0.083	0.095
130	0.203	0.084	0.093
140	0.202	0.085	0.093
150	0.202	0.083	0.093
175	0.201	0.079	0.094
200	0.202	0.078	0.095
225	0.201	0.080	0.093
250	0.200	0.080	0.093
