frequency	 raw data	 moving average	 windowed sinc
20	0.203	0.167	0.168
25	0.200	0.161	0.161
30	0.201	0.155	0.156
35	0.203	0.149	0.150
40	0.203	0.141	0.141
45	0.202	0.134	0.135
50	0.202	0.126	0.127
60	0.202	0.110	0.109
70	0.202	0.095	0.095
80	0.203	0.084	0.084
90	0.201	0.078	0.078
100	0.203	0.077	0.077
110	0.203	0.081	0.081
120	0.201	0.082	0.082
130	0.202	0.084	0.084
140	0.201	0.084	0.084
150	0.202	0.083	0.083
175	0.202	0.078	0.079
200	0.202	0.078	0.078
225	0.202	0.079	0.079
250	0.201	0.079	0.079
